"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"Can_841e7aec","misinformation","False or misleading information that is spread and circulated on social networking and social media platforms.","InformationQualityIssue","0.97","Both mentions refer to the same concept of false or misleading information on social media, differing only in type granularity and phrasing.","entity_raw","ClsC_08f877d7","Social Media Misinformation","Social Media Content & Information","[""Ch_000004"", ""Ch_000006""]","[]"
"En_47c431f7","fake news","Deliberately fabricated or misleading news content circulating on social networking sites.","InformationQualityIssue","0.97","One of the most pressing concerns is the rise of misinformation and fake news on social networking sites. The ease with which information can be shared and spread on these platforms has made it difficult to discern fact from fiction.","entity_raw","ClsC_08f877d7","Social Media Misinformation","Social Media Content & Information","[""Ch_000004""]","[]"
"En_328455c4","important conversations","Significant discussions among users about news and societal topics on social media.","Process","0.86","This democratization of information has empowered individuals to be more informed and engaged in current events, sparking important conversations and debates on various social issues.","entity_raw","ClsC_dd1883f9","Online Public Discourse","Social Media & Societal Issues Discourse","[""Ch_000003""]","[]"
"En_7b0e6f15","debates on social issues","Arguments and discussions on various social issues facilitated by social media.","Process","0.9","This democratization of information has empowered individuals to be more informed and engaged in current events, sparking important conversations and debates on various social issues.","entity_raw","ClsC_dd1883f9","Online Public Discourse","Social Media & Societal Issues Discourse","[""Ch_000003""]","[]"
"En_981a7e2d","social issues","Societal problems and topics discussed and debated via social media platforms.","Topic","0.9","This democratization of information has empowered individuals to be more informed and engaged in current events, sparking important conversations and debates on various social issues.","entity_raw","ClsC_588d52ca","Societal Issues and Awareness","Social Media & Societal Issues Discourse","[""Ch_000003""]","[]"
"En_9c756663","awareness of social issues","Greater public recognition and understanding of social issues facilitated by social media exposure.","SocialPhenomenon","0.9","While it has brought about many positive changes, such as increased connectivity, empowerment of marginalized voices, and awareness of social issues, it also poses challenges in terms of misinformation, superficial communication, and mental health implications.","entity_raw","ClsC_588d52ca","Societal Issues and Awareness","Social Media & Societal Issues Discourse","[""Ch_000006""]","[]"
"Can_8d8359fa","superficial communication on social media","Shallow or surface-level interaction styles on social media, often involving minimal engagement mechanisms such as likes, shares, and emojis instead of deeper exchanges.","CommunicationPattern","0.95","Both mentions describe the same phenomenon of shallow, surface-level communication on social media; one is a longer phrasing of the other in the same conceptual context.","entity_raw","ClsC_98d3a917","Superficial Social Media Communication","Social Media Interaction & Engagement","[""Ch_000004"", ""Ch_000006""]","[]"
"Can_13f0e2c5","likes","Positive engagement actions on social platforms that indicate user approval or support for content.","PlatformFeature","0.97","Both mentions of 'likes' refer to the same social media engagement action, differing only in minor wording and type hint, so they should be unified.","entity_raw","ClsC_98d3a917","Superficial Social Media Communication","Social Media Interaction & Engagement","[""Ch_000004"", ""Ch_000005""]","[]"
"En_12645b52","shares","User actions that redistribute content to their own network on social platforms.","InteractionFeature","0.96","Furthermore, social media has also been criticized for promoting shallow and superficial forms of communication, such as likes, shares, and emojis, that prioritize quantity over quality.","entity_raw","ClsC_98d3a917","Superficial Social Media Communication","Social Media Interaction & Engagement","[""Ch_000004""]","[]"
"En_22faf1a6","emojis","Small digital icons used to express emotions or reactions in online communication.","InteractionFeature","0.96","Furthermore, social media has also been criticized for promoting shallow and superficial forms of communication, such as likes, shares, and emojis, that prioritize quantity over quality.","entity_raw","ClsC_98d3a917","Superficial Social Media Communication","Social Media Interaction & Engagement","[""Ch_000004""]","[]"
"En_57de7d35","quantity over quality","Preference for high volume of interactions rather than meaningful engagement on social media.","ValuePreference","0.92","Furthermore, social media has also been criticized for promoting shallow and superficial forms of communication, such as likes, shares, and emojis, that prioritize quantity over quality.","entity_raw","ClsC_98d3a917","Superficial Social Media Communication","Social Media Interaction & Engagement","[""Ch_000004""]","[]"
"En_79c94e85","their stories","Personal narratives and experiences shared by underrepresented communities on social media.","Content","0.85","Platforms like Twitter have provided a platform for underrepresented communities to share their stories, raise awareness about social injustices, and advocate for change.","entity_raw","ClsC_9e4cbfb9","Social Justice Narratives on Social Media","Social Media and Online Social Interaction","[""Ch_000003""]","[]"
