"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"Can_e5d64f71","Galatea (living statue created by Pygmalion)","The sculpted statue created by the sculptor Pygmalion that later comes to life and becomes a living being in the myth of Pygmalion and Galatea.","Character","0.96","Both entities describe the same artwork made by the sculptor that becomes a living statue in the story.","entity_raw","ClsC_a3973746","Pygmalion and Galatea Characters","Pygmalion and Galatea Myth","[""Ch_000006""]","[]"
"En_aaae5443","Pygmalion","The sculptor in the myth of Pygmalion and Galatea who creates a statue and falls in love with it.","Person","0.96","In this story, a sculptor falls in love with his creation, a statue that comes to life.","entity_raw","ClsC_a3973746","Pygmalion and Galatea Characters","Pygmalion and Galatea Myth","[""Ch_000006""]","[]"
"En_dc89c9a9","ancient myths and stories related to Beauty and the Beast","Older mythological and narrative sources that inspired later versions of ""Beauty and the Beast.""","MythologicalTradition","0.86","The origins of this tale can be traced back to ancient myths and stories that have been retold in different forms throughout history. The earliest known version of ""Beauty and the Beast"" can be found in the works of the Roman poet Ovid.","entity_raw","ClsC_944faee3","Beauty and the Beast Sources and Origins","Beauty and the Beast Context and Origins","[""Ch_000005""]","[]"
"En_a3016a64","Ovid","A Roman poet whose works contain the earliest known version associated with ""Beauty and the Beast.""","Person","0.99","The earliest known version of ""Beauty and the Beast"" can be found in the works of the Roman poet Ovid, who wrote about the myth of Pygmalion and Galatea.","entity_raw","ClsC_944faee3","Beauty and the Beast Sources and Origins","Beauty and the Beast Context and Origins","[""Ch_000005""]","[]"
"En_1c09060a","Hansel and Gretel (characters)","The sibling duo from the Brothers Grimm fairy tale who are abandoned in the woods and discover a house made of sweets owned by a cannibalistic witch.","CharacterGroup","0.94","This tale, also collected by the Brothers Grimm, tells the story of two siblings who are abandoned in the woods by their parents and stumble upon a house made of sweets belonging to a cannibalistic witch.","entity_raw","ClsC_29f0295e","Hansel and Gretel Characters","Grimm Fairy Tales","[""Ch_000004""]","[]"
"En_25671ad3","cannibalistic witch","The witch who owns the house made of sweets and is characterized by cannibalism.","Character","0.96","Two siblings who are abandoned in the woods by their parents and stumble upon a house made of sweets belonging to a cannibalistic witch.","entity_raw","ClsC_29f0295e","Hansel and Gretel Characters","Grimm Fairy Tales","[""Ch_000004""]","[{""prop_name"": ""diet_type"", ""prop_value"": ""cannibalistic"", ""justification"": ""The witch is explicitly described as 'cannibalistic,' a defining trait of this character.""}]"
"En_83165754","Hansel","One of the two child protagonists in the fairytale ""Hansel and Gretel.""","FictionalCharacter","0.94","Through their wit and bravery, Hansel and Gretel outsmart the witch and find their way back home. The story of ""Hansel and Gretel"" is believed to have originated from European folklore.","entity_raw","ClsC_29f0295e","Hansel and Gretel Characters","Grimm Fairy Tales","[""Ch_000005""]","[]"
"En_11396df5","Gretel","One of the two child protagonists in the fairytale ""Hansel and Gretel.""","FictionalCharacter","0.94","Through their wit and bravery, Hansel and Gretel outsmart the witch and find their way back home. The story of ""Hansel and Gretel"" is believed to have originated from European folklore.","entity_raw","ClsC_29f0295e","Hansel and Gretel Characters","Grimm Fairy Tales","[""Ch_000005""]","[]"
"En_6901e5e0","witch in Hansel and Gretel","The antagonistic witch from the fairytale ""Hansel and Gretel"" who is outsmarted by the children.","FictionalCharacter","0.9","Through their wit and bravery, Hansel and Gretel outsmart the witch and find their way back home. The story of ""Hansel and Gretel"" is believed to have originated from European folklore.","entity_raw","ClsC_29f0295e","Hansel and Gretel Characters","Grimm Fairy Tales","[""Ch_000005""]","[]"
"En_ba7ff3d5","woods","The wooded area where the two siblings are abandoned.","Location","0.92","This tale, also collected by the Brothers Grimm, tells the story of two siblings who are abandoned in the woods by their parents and stumble upon a house made of sweets belonging to a cannibalistic witch.","entity_raw","ClsC_29f09d90","Hansel and Gretel Settings","Grimm Fairy Tales","[""Ch_000004""]","[]"
