"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_46040272","deceased's family","Relatives of the deceased person who arrange funerary activities and hire mourners.","Agent","0.94","The deceased's family would often hire professional mourners to lead the funeral procession and perform rituals to honor the deceased.","entity_raw","ClsC_abad8be0","Funerary Participants and Roles","Funerary Roles and Ritual Practices","[""Ch_000005""]","[]"
"En_9f15953e","professional mourners","Hired specialists who publicly mourn, lead funeral processions, and perform funerary rituals.","Agent","0.97","The deceased's family would often hire professional mourners to lead the funeral procession and perform rituals to honor the deceased.","entity_raw","ClsC_abad8be0","Funerary Participants and Roles","Funerary Roles and Ritual Practices","[""Ch_000005""]","[]"
"En_744a460f","funeral procession","The ceremonial movement of mourners and the deceased's remains during the funeral.","Process","0.96","The deceased's family would often hire professional mourners to lead the funeral procession and perform rituals to honor the deceased.","entity_raw","ClsC_37762aeb","Funerary Practices and Rituals","Funerary Roles and Ritual Practices","[""Ch_000005""]","[]"
"En_09eee2f1","funerary rituals","Ritual actions performed to honor the deceased as part of burial practices.","Process","0.95","The deceased's family would often hire professional mourners to lead the funeral procession and perform rituals to honor the deceased.","entity_raw","ClsC_37762aeb","Funerary Practices and Rituals","Funerary Roles and Ritual Practices","[""Ch_000005""]","[]"
"Can_e8375c41","Book of the Dead","Ancient Egyptian funerary text consisting of a collection of spells and prayers, often written on papyrus scrolls and placed in tombs to aid the deceased in navigating the afterlife.","Document","1.0","The 'collection of spells and prayers' is explicitly described as the content of the Book of the Dead in the same context, so both mentions refer to the same textual work.","entity_raw","ClsC_bd4622ca","Egyptian Funerary Texts","Ancient Egyptian Funerary Practices and Burials","[""Ch_000004""]","[]"
"Can_b5ece7b4","religious texts in ancient Egyptian burials","Sacred written works placed in ancient Egyptian tombs or burial chambers to guide and aid the deceased in the afterlife.","Text","0.96","Both mentions refer to the same concept of sacred written documents buried with the deceased to assist them in the afterlife, differing only in wording and type_hint granularity.","entity_raw","ClsC_bd4622ca","Egyptian Funerary Texts","Ancient Egyptian Funerary Practices and Burials","[""Ch_000003"", ""Ch_000006""]","[]"
"Can_0946a057","the deceased","Dead individual in ancient Egyptian burial practices, whose body is mummified, buried with goods and texts, and believed to journey through the afterlife.","Person","0.95","All these mentions refer generically to the same concept: the dead person who is the subject of Egyptian burial, mummification, and afterlife beliefs.","entity_raw","ClsC_eb8b19d2","Ancient Egyptian Deceased Individual (Burial Subject)","Ancient Egyptian Funerary Religion and Culture","[""Ch_000002"", ""Ch_000003"", ""Ch_000004"", ""Ch_000005"", ""Ch_000006""]","[]"
"En_d6088eeb","deceased's body","The physical body of the dead person intended to be preserved and protected within the pyramid or tomb in ancient Egyptian burial practices.","Body","0.92","The pyramids were designed to protect the deceased's body and possessions and to serve as a gateway to the afterlife.","entity_raw","ClsC_eb8b19d2","Ancient Egyptian Deceased Individual (Burial Subject)","Ancient Egyptian Funerary Religion and Culture","[""Ch_000002""]","[]"
"Can_ef2b25b5","mummification","Ancient Egyptian burial and embalming process of preserving a corpse to prevent decay and prepare it for the afterlife, involving body preservation through organ removal, desiccation, and wrapping.","Process","0.99","Both refer to the same Egyptian body-preservation burial practice in this context, with 'body preservation' described specifically as the act within mummification rather than a separate concept.","entity_raw","ClsC_415d25b8","Ancient Egyptian Mummification Practices","Ancient Egyptian Funerary Religion and Culture","[""Ch_000002"", ""Ch_000003"", ""Ch_000006""]","[]"
"En_7c99feba","internal organs","Soft organs inside the body that were removed during mummification.","AnatomicalStructure","0.96","This process typically involved removing the internal organs and drying out the body with salt before wrapping it in linen bandages. The removal and separate treatment of internal organs were characteristic steps within Egyptian mummification practices aimed at long-term body preservation.","entity_raw","ClsC_415d25b8","Ancient Egyptian Mummification Practices","Ancient Egyptian Funerary Religion and Culture","[""Ch_000003""]","[]"
"En_6d708d1d","salt drying","Use of salt to dry out a corpse as part of mummification.","Process","0.9","This process typically involved removing the internal organs and drying out the body with salt before wrapping it in linen bandages. The use of salt to desiccate the body was a crucial stage in preventing decay and achieving effective preservation for the afterlife.","entity_raw","ClsC_415d25b8","Ancient Egyptian Mummification Practices","Ancient Egyptian Funerary Religion and Culture","[""Ch_000003""]","[]"
"En_9acb30ab","linen bandages","Strips of linen cloth used to wrap the mummified body.","Material","0.98","This process typically involved removing the internal organs and drying out the body with salt before wrapping it in linen bandages. The linen bandages formed the outer covering of the mummy, enclosing the preserved body for burial in the tomb or burial chamber.","entity_raw","ClsC_415d25b8","Ancient Egyptian Mummification Practices","Ancient Egyptian Funerary Religion and Culture","[""Ch_000003""]","[]"
"Can_a97f4be2","ancient Egyptian afterlife beliefs","The ancient Egyptian religious conception of the afterlife, encompassing the post-death realm, the journey of the soul, associated deities, and the rituals and practices intended to ensure safe passage and eternal life.","BeliefSystem","0.99","Both mentions are explicitly described as referring to the same ancient Egyptian concept of the afterlife, differing only in label granularity, so they should be unified into one belief-system entity covering the realm and its associated doctrines.","entity_raw","ClsC_cf008631","Ancient Egyptian Afterlife Beliefs and Concepts","Ancient Egyptian Funerary Religion and Culture","[""Ch_000001"", ""Ch_000002"", ""Ch_000003"", ""Ch_000004"", ""Ch_000005"", ""Ch_000006""]","[]"
