"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_f4cc6dcf79f7","Can_f68c2fcf","Can_a97f4be2","informed_by","is_based_on","Subject practice or doctrine is conceptually grounded in or derived from the object belief system or set of concepts.","belief_dependency_relation","CAUSALITY","conceptual_link","0.93","Burial practices are described as reflecting afterlife beliefs, so beliefs are the conceptual source.","The text states that the burial practices ""reflect the Egyptians' beliefs about the afterlife,"" indicating those beliefs inform how the practices are structured.","","burial practices, which reflect the Egyptians' beliefs about the afterlife","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in Ancient Egypt"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""reflect"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Ancient Egyptian burial practices were shaped by and expressed ancient Egyptian beliefs about the afterlife."
"RelR_4c40e1b8fbcd","Can_f68c2fcf","Can_185bea15","expresses","expresses_cultural_belief_or_value","Indicates that a cultural practice, custom, or ritual serves as an expression or manifestation of an underlying cultural belief, value, or attitude.","cultural_expression_relation","REPRESENTATION","expression","0.9","Practices are said to reflect reverence, suggesting they outwardly express this value.","The text directly links burial practices to ""their reverence for the deceased,"" implying the practices manifest that reverence.","","practices, which reflect the Egyptians' beliefs about the afterlife and their reverence for the deceased","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in Ancient Egypt"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""reflect"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Ancient Egyptian burial practices served as an expression of cultural reverence for the deceased."
"RelR_3d2913e7f4e4","Can_f68c2fcf","Can_343049fe","is_part_of","is_part_of","Indicates that the subject is a constituent, sub-aspect, or component of the object within a broader whole (which may be a concept, practice, belief system, or other structured entity).","part_whole_relation","COMPOSITION","membership","0.96","Culture is the broader whole; burial practices are one aspect within it.","The text explicitly states: ""These burial practices were an essential part of Egyptian culture.""","","These burial practices were an essential part of Egyptian culture","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in Ancient Egypt"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Degree: essential part""
}","Ancient Egyptian burial practices are presented as an essential component of Ancient Egyptian culture."
"RelR_9c9b8f06f7c3","Can_343049fe","Can_0a8d053d","occurs_in","is_culture_of","Indicates that a cultural system or culture as a whole is the culture associated with a given civilization or society.","civilization_culture_relation","COMPOSITION","context","0.78","Culture is tied to the broader civilization; relation used to anchor culture within that civilization.","The passage treats ""Ancient Egypt"" and its burial practices and culture as a single civilizational context, implying the culture belongs to that civilization.","Slightly heuristic; text assumes, rather than states, culture-civilization linkage.","Ancient Egypt is known for its elaborate burial practices... an essential part of Egyptian culture","Ch_000001","{
 ""TemporalQualifier"": ""ancient period of Egypt"",
 ""SpatialQualifier"": ""Ancient Egypt"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""implied, not explicit"",
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Ancient Egyptian culture is the cultural expression of the civilization of Ancient Egypt."
"RelR_318dd7e11fac","Can_f68c2fcf","Can_0a8d053d","occurs_in","is_cultural_aspect_of","Indicates that a cultural practice, tradition, or domain is an aspect, expression, or constituent component of a given civilization or society.","civilization_culture_relation","COMPOSITION","context","0.95","The practices are described as characteristic of Ancient Egypt as a civilization.","The opening sentence links Ancient Egypt with ""its elaborate burial practices,"" indicating these practices belong to that civilization.","","Ancient Egypt is known for its elaborate burial practices","Ch_000001","{
 ""TemporalQualifier"": ""in the period of Ancient Egypt"",
 ""SpatialQualifier"": ""Ancient Egypt"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""known for"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Ancient Egyptian burial practices are situated within and associated with the civilization of Ancient Egypt."
"RelR_178358f6335a","Can_f68c2fcf","Can_2309ffd7","involves","includes_structure_type","Links a cultural or ritual practice to a type of physical structure that is a characteristic component of how the practice is carried out.","cultural_practice_structure_relation","COMPOSITION","composition","0.96","Tombs are a component/implementation aspect of burial practices.","The text says: ""One of the most famous aspects of Egyptian burial practices is the construction of elaborate tombs,"" directly making tombs part of burial practices.","","One of the most famous aspects of Egyptian burial practices is the construction of elaborate tombs","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in Ancient Egypt"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""One of the most famous aspects of"",
 ""OtherQualifier"": ""Fame: most famous aspect""
}","Ancient Egyptian burial practices included constructing elaborate tombs as one of their most famous aspects."
"RelR_12f95b59e946","En_5da37af9","Can_2309ffd7","instance_of","is_example_of","Indicates that the subject is a concrete example or illustrative instance of the more general type or category represented by the object.","example_instance_relation","IDENTITY","example_of","0.97","Direction chosen: specific structure (pyramids at Giza) is an instance of the general class (ancient Egyptian tombs).","The phrase ""elaborate tombs, such as the pyramids at Giza"" explicitly identifies the pyramids as a specific type of tomb.","","elaborate tombs, such as the pyramids at Giza","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""Giza Plateau, Egypt"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""such as"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Monumentality: monumental tombs""
}","The pyramids at Giza are presented as an example of elaborate ancient Egyptian tombs."
"RelR_37f5c3e61c72","Can_2309ffd7","En_565cfcfe","built_for","serves_as_burial_place_for","Indicates that a tomb or burial structure is intended to serve as the burial place for a specific person or social group, typically in the afterlife context.","burial_purpose_relation","USAGE","purpose","0.94","Tombs (structures) are the subject; pharaohs are the intended occupants/beneficiaries.","The text states: ""These monumental structures were built to house the pharaohs,"" clearly indicating intended purpose and beneficiary.","","These monumental structures were built to house the pharaohs","Ch_000001","{
 ""TemporalQualifier"": ""after death"",
 ""SpatialQualifier"": ""within the tombs"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""built to"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""IntendedRealm: in the afterlife""
}","Ancient Egyptian tombs were constructed to house pharaohs in the afterlife."
"RelR_3ca81eea4690","Can_2309ffd7","Can_170ea38e","built_for","serves_as_burial_place_for","Indicates that a tomb or burial structure is intended to serve as the burial place for a specific person or social group, typically in the afterlife context.","burial_purpose_relation","USAGE","purpose","0.78","The phrase ""other important individuals"" is interpreted as the ancient Egyptian elite entity.","The text notes tombs ""were built to house the pharaohs and other important individuals,"" which aligns with the idea of elite non-royal burials.","Mapping ""other important individuals"" to the canonical entity ancient Egyptian elite is inferred but plausible.","were built to house the pharaohs and other important individuals in the afterlife","Ch_000001","{
 ""TemporalQualifier"": ""after death"",
 ""SpatialQualifier"": ""within the tombs"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": ""implicit mapping of group"",
 ""CausalHint"": ""were built to"",
 ""LogicalMarker"": ""and"",
 ""OtherQualifier"": ""IntendedRealm: in the afterlife""
}","Ancient Egyptian tombs, including monumental ones, were also intended to house other important individuals, corresponding to the ancient Egyptian elite."
"RelR_d416455577ce","Can_f68c2fcf","Can_a97f4be2","aims_to_support","has_purpose","The subject ritual, practice, or process is intentionally performed in order to achieve or support the outcome or goal represented by the object.","ritual_purpose_relation","USAGE","purpose","0.93","Practices (rituals/actions) have the goal of achieving an outcome in the afterlife belief system.","The text states the practices ""were carefully designed to ensure the deceased's safe passage into the afterlife,"" tying ritual design to the afterlife outcome.","This complements the earlier informed_by relation by emphasizing teleological purpose.","were carefully designed to ensure the deceased's safe passage into the afterlife","Ch_000001","{
 ""TemporalQualifier"": ""at and after death"",
 ""SpatialQualifier"": ""from the tomb to the afterlife"",
 ""OperationalConstraint"": ""when performed correctly according to custom"",
 ""ConditionExpression"": ""if burial practices are properly carried out"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""designed to ensure"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Outcome: safe passage into the afterlife""
}","Ancient Egyptian burial practices were deliberately designed to secure safe passage into the afterlife envisioned in Egyptian afterlife beliefs."
