"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_5302f39b010c","Can_8625e1a7","En_75e070f1","uses","uses","Subject uses or employs the object as a method, tool, technique, principle, or resource to carry out its activities or functions.","method_tool_usage_relation","USAGE","usage","0.96","Direction chosen as field (forensic science) using the methods and techniques.","The text explicitly defines forensic science as the application of scientific methods and techniques.","","Forensic science is the application of scientific methods and techniques","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""application of"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Forensic science applies scientific methods and techniques."
"RelR_e85bb5272e02","Can_8625e1a7","Can_8fe88d36","used_for","used_for","Indicates that the subject (a discipline, field, method, tool, or practice) is used or applied in order to achieve, address, or perform the object (a task, purpose, problem, or target).","functional_usage_relation","USAGE","purpose","0.97","Solving crimes is presented as a primary purpose of forensic science.","The definition states forensic science applies methods and techniques to solve crimes.","","application of scientific methods and techniques to solve crimes","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""to"",
 ""OtherQualifier"": null
}","Forensic science is used to solve crimes."
"RelR_ee02732b4d44","Can_8625e1a7","En_b6c9b728","used_for","used_for","Indicates that the subject (a discipline, field, method, tool, or practice) is used or applied in order to achieve, address, or perform the object (a task, purpose, problem, or target).","functional_usage_relation","USAGE","purpose","0.9","Legal issues appear alongside crimes as targets of forensic science.","The text links forensic science to solving legal issues via application of methods and techniques.","","application of scientific methods and techniques to solve crimes and legal issues","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""and"",
 ""OtherQualifier"": null
}","Forensic science is used to address legal issues."
"RelR_b6439ea4f202","Can_8625e1a7","En_f1d01ab0","contributes_to","contributes_to","The subject's work, function, or existence helps to bring about, support, or improve the object within a broader justice or criminal justice context.","justice_outcome_relation","CAUSALITY","functional_role","0.98","Direction from forensic science to criminal justice system reflects contribution.","The text directly states forensic science plays a crucial role in the criminal justice system.","","It plays a crucial role in the criminal justice system","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in the criminal justice system"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""by"",
 ""OtherQualifier"": null
}","Forensic science plays a crucial role in the criminal justice system."
"RelR_1d34a1f2daf2","Can_8625e1a7","Can_1818d2ff","analyzes","analyzes","An investigative or forensic actor examines evidence, data, or other information to extract facts, patterns, or insights.","forensic_analysis_activity_relation","AGENCY","analytical","0.97","Text links forensic science and analysis of physical evidence directly.","The art of forensic science combines disciplines to analyze physical evidence; later, collection and analysis are key aspects.","","disciplines such as biology, chemistry, physics, and mathematics to analyze physical evidence","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""to"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Forensic science analyzes physical evidence as part of its practice."
"RelR_e643eb322fc1","Can_8625e1a7","En_5e2b0546","supports","supports","Indicates that the subject provides evidentiary, analytical, or operational help that facilitates or strengthens the object process or actor in the criminal justice/forensic context.","forensic_support_relation","CAUSALITY","support","0.95","Investigation is the process that is helped by evidence from forensic science.","The text states forensic science provides valuable evidence that helps in the investigation of crimes.","","providing valuable evidence that helps in the investigation ... of crimes","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""helps"",
 ""LogicalMarker"": ""that"",
 ""OtherQualifier"": null
}","Forensic science supports the investigation of crimes by providing valuable evidence."
"RelR_e1ffa0e2ff89","Can_8625e1a7","En_f08e378d","supports","supports","Indicates that the subject provides evidentiary, analytical, or operational help that facilitates or strengthens the object process or actor in the criminal justice/forensic context.","forensic_support_relation","CAUSALITY","support","0.95","Prosecution is another process helped by forensic evidence from forensic science.","Same sentence links evidence from forensic science to prosecution of crimes.","","valuable evidence that helps in the investigation and prosecution of crimes","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""helps"",
 ""LogicalMarker"": ""and"",
 ""OtherQualifier"": null
}","Forensic science supports the prosecution of crimes by providing valuable evidence."
"RelR_8ff2be5ea6db","Can_8625e1a7","En_70a019bd","has_aspect","has_aspect","Links a broader domain or concept to one of its constituent aspects, activities, or conceptual components.","conceptual_component_relation","COMPOSITION","part_of","0.98","Modeled as forensic science having collection as a constituent aspect.","The text explicitly labels the collection of physical evidence as a key aspect of forensic science.","","One of the key aspects of forensic science is the collection ... of physical evidence.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""is"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Collection of physical evidence is described as a key aspect of forensic science."
"RelR_95829e8b6041","Can_8625e1a7","En_6ed9a385","has_aspect","has_aspect","Links a broader domain or concept to one of its constituent aspects, activities, or conceptual components.","conceptual_component_relation","COMPOSITION","part_of","0.98","Modeled similarly to collection as a key aspect.","The same sentence identifies analysis of physical evidence as part of the key aspect.","","One of the key aspects of forensic science is the collection and analysis of physical evidence.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""is"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Analysis of physical evidence is described as a key aspect of forensic science."
"RelR_757166e211a1","En_70a019bd","Can_1818d2ff","acts_on","acts_on","A process is performed on, directed at, or targets this entity as its primary object or input.","process_target_relation","INTERACTION","process-target","0.9","Collection is modeled as a process whose target is physical evidence.","By definition, collection of physical evidence involves gathering physical evidence.","Relation created to anchor the process (collection) to its object (physical evidence).","key aspects of forensic science is the collection and analysis of physical evidence.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""of"",
 ""OtherQualifier"": null
}","The collection process operates on physical evidence, gathering it from scenes."
