"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_45febaf9","gravitational waves","Ripples in spacetime produced by accelerating masses, such as merging black holes.","PhysicalPhenomenon","0.99","The discovery of gravitational waves by the LIGO observatory in 2015, resulting from the merger of two black holes, provided further evidence of the existence of black holes and opened up new possibilities for studying these cosmic phenomena.","entity_raw","ClsC_9e552f9b","Gravitational Waves","Gravitation and General Relativity","[""Ch_000005""]","[]"
"En_d6f174db","LIGO observatory","Laser Interferometer Gravitational-Wave Observatory that first detected gravitational waves.","Facility","0.99","The discovery of gravitational waves by the LIGO observatory in 2015, resulting from the merger of two black holes, provided further evidence of the existence of black holes and opened up new possibilities for studying these cosmic phenomena.","entity_raw","ClsC_4b564d84","Gravitational-Wave Observation Context","Gravitation and General Relativity","[""Ch_000005""]","[]"
"En_ba254175","discovery of gravitational waves in 2015","First observation of gravitational waves by LIGO, confirming key predictions of general relativity.","ScientificDiscovery","0.96","The discovery of gravitational waves by the LIGO observatory in 2015, resulting from the merger of two black holes, provided further evidence of the existence of black holes and opened up new possibilities for studying these cosmic phenomena.","entity_raw","ClsC_4b564d84","Gravitational-Wave Observation Context","Gravitation and General Relativity","[""Ch_000005""]","[{""prop_name"": ""year"", ""prop_value"": ""2015"", ""justification"": ""The phrase explicitly dates the discovery: 'by the LIGO observatory in 2015'.""}]"
"En_5caa2fcd","cosmic phenomena","Large-scale or high-energy astrophysical events and objects such as black holes and gravitational waves.","Concept","0.78","The discovery of gravitational waves by the LIGO observatory in 2015, resulting from the merger of two black holes, provided further evidence of the existence of black holes and opened up new possibilities for studying these cosmic phenomena.","entity_raw","ClsC_7baf9de1","Astrophysical Concepts","Astrophysics","[""Ch_000005""]","[]"
"En_6636335c","gravitational time dilation","Relativistic effect where time passes more slowly in stronger gravitational fields compared to weaker ones.","PhysicalPhenomenon","0.99","This phenomenon, known as gravitational time dilation, causes time to slow down near a black hole relative to observers further away.","entity_raw","ClsC_babafd58","Gravitational Time Dilation","Gravitation and General Relativity","[""Ch_000003""]","[]"
"En_2aee1e71","time near a black hole","Rate at which time passes in the strong gravitational field close to a black hole.","PhysicalState","0.86","This phenomenon, known as gravitational time dilation, causes time to slow down near a black hole relative to observers further away.","entity_raw","ClsC_babafd58","Gravitational Time Dilation","Gravitation and General Relativity","[""Ch_000003""]","[]"
"En_0522be34","time for observers further away","Rate of time passage experienced by observers distant from the black hole’s gravitational field.","PhysicalState","0.8","This phenomenon, known as gravitational time dilation, causes time to slow down near a black hole relative to observers further away.","entity_raw","ClsC_babafd58","Gravitational Time Dilation","Gravitation and General Relativity","[""Ch_000003""]","[]"
"En_2414474c","gravitational theories","Scientific theories describing gravitational interaction, including general relativity and other models tested using black holes.","PhysicalTheory","0.9","Black holes provide a unique testing ground for theories of gravity, such as general relativity, and have inspired new ideas in quantum mechanics and string theory.","entity_raw","ClsC_14b1fb86","Fundamental Physics Theories Tested with Black Holes","Gravity and Quantum Theory Frameworks","[""Ch_000005""]","[]"
"En_989d56c8","quantum mechanics","Fundamental theory of physics describing nature at small scales, inspired by black hole studies.","PhysicalTheory","0.98","Black holes provide a unique testing ground for theories of gravity, such as general relativity, and have inspired new ideas in quantum mechanics and string theory.","entity_raw","ClsC_14b1fb86","Fundamental Physics Theories Tested with Black Holes","Gravity and Quantum Theory Frameworks","[""Ch_000005""]","[]"
"Can_20ad5c49","black hole information paradox","A theoretical puzzle in black hole physics concerning whether and how information about matter falling into a black hole is preserved or destroyed, particularly in the context of black hole evaporation via Hawking radiation.","ScientificProblem","0.99","Both entities explicitly describe the same black hole information paradox concerning the fate of information in black holes and differ only in naming/detail level.","entity_raw","ClsC_701f47f7","Black Hole Information & Paradox Concepts","Black Hole Information & Holography","[""Ch_000004"", ""Ch_000005"", ""Ch_000007""]","[]"
