"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_dee45e1d","teamwork","Value emphasizing cooperative effort among individuals, promoted by participation in sports.","Concept","0.97","Sports have served as a powerful means of bringing people together, fostering a sense of community, and promoting values such as teamwork, discipline, and fair play.","entity_raw","ClsC_f8cf8aa4","Sports Values","Sports and Society","[""Ch_000001""]","[]"
"En_2dfae60b","discipline","Value involving self-control and adherence to rules, highlighted as promoted by sports.","Concept","0.96","Sports have served as a powerful means of bringing people together, fostering a sense of community, and promoting values such as teamwork, discipline, and fair play.","entity_raw","ClsC_f8cf8aa4","Sports Values","Sports and Society","[""Ch_000001""]","[]"
"En_8057a670","fair play","Value of acting honestly and respecting rules and opponents in sports.","Concept","0.96","Sports have served as a powerful means of bringing people together, fostering a sense of community, and promoting values such as teamwork, discipline, and fair play.","entity_raw","ClsC_f8cf8aa4","Sports Values","Sports and Society","[""Ch_000001""]","[]"
"Can_5659221c","gender equality","The principle of equal rights, opportunities, and status regardless of gender, including efforts in sports to challenge gender norms and promote fairness.","SocialGoal","0.96","Both mentions occur in the same context of women’s inclusion in male-dominated sports and refer to the same concept of gender-based equality, with 'equality' used as a shorthand for gender equality.","entity_raw","ClsC_e78d2acf","Gender-Related Social Concepts in Sport","Sports, Social Issues, and Social Change","[""Ch_000003""]","[]"
"En_04e0e062","gender norms","Social expectations about gender roles that are challenged by women’s inclusion in certain sports.","SocialConcept","0.94","For example, the inclusion of women in traditionally male-dominated sports has helped to challenge gender norms and promote equality.","entity_raw","ClsC_e78d2acf","Gender-Related Social Concepts in Sport","Sports, Social Issues, and Social Change","[""Ch_000003""]","[]"
"En_af5c7dc2","inclusion of women in traditionally male-dominated sports","Participation of women in sports historically dominated by men, used to challenge gender norms.","SocialChangePractice","0.95","For example, the inclusion of women in traditionally male-dominated sports has helped to challenge gender norms and promote equality.","entity_raw","ClsC_9f91debd","Gender Integration in Sports","Sports, Social Issues, and Social Change","[""Ch_000003""]","[]"
"En_c62a3a11","women","Female participants whose inclusion in male-dominated sports challenges gender norms.","AgentGroup","0.93","For example, the inclusion of women in traditionally male-dominated sports has helped to challenge gender norms and promote equality.","entity_raw","ClsC_9f91debd","Gender Integration in Sports","Sports, Social Issues, and Social Change","[""Ch_000003""]","[]"
"En_b51de43d","male-dominated sports","Sports that have traditionally had predominantly male participation and control.","ActivityCategory","0.94","For example, the inclusion of women in traditionally male-dominated sports has helped to challenge gender norms and promote equality.","entity_raw","ClsC_9f91debd","Gender Integration in Sports","Sports, Social Issues, and Social Change","[""Ch_000003""]","[]"
"En_924688f2","sports teams","Organized groups of athletes competing in sports, functioning as commercial and marketing brands.","Organization","0.97","Sports teams and athletes can also serve as powerful brands, attracting sponsors and endorsements that bring in millions of dollars in revenue.","entity_raw","ClsC_fb9d0a7a","Sports Brands","Sports Marketing & Sponsorship","[""Ch_000004""]","[]"
"En_5026627f","powerful brands","Strong commercial identities associated with sports teams and athletes that attract sponsorship and endorsements.","Brand","0.9","Sports teams and athletes can also serve as powerful brands, attracting sponsors and endorsements that bring in millions of dollars in revenue.","entity_raw","ClsC_fb9d0a7a","Sports Brands","Sports Marketing & Sponsorship","[""Ch_000004""]","[]"
"En_37a65fd9","sponsors","Organizations or companies that financially support sports teams or athletes in exchange for promotion.","OrganizationRole","0.96","Sports teams and athletes can also serve as powerful brands, attracting sponsors and endorsements that bring in millions of dollars in revenue.","entity_raw","ClsC_8c95eae6","Sports Sponsorship Relationships","Sports Marketing & Sponsorship","[""Ch_000004""]","[]"
"En_e9143630","endorsements","Commercial agreements where athletes or teams promote products or services, generating revenue.","CommercialAgreement","0.96","Sports teams and athletes can also serve as powerful brands, attracting sponsors and endorsements that bring in millions of dollars in revenue.","entity_raw","ClsC_8c95eae6","Sports Sponsorship Relationships","Sports Marketing & Sponsorship","[""Ch_000004""]","[]"
"En_d2b0834e","sense of community","Feeling of belonging and social connection fostered through participation in sports.","Condition","0.9","Sports have served as a powerful means of bringing people together, fostering a sense of community, and promoting values such as teamwork, discipline, and fair play.","entity_raw","ClsC_fe9494d3","Sport-Driven Social Cohesion","Sport, Community & Social Experience","[""Ch_000001""]","[]"
"En_b0d39d2b","common passion","Shared enthusiasm and interest that unites diverse people around sports.","Condition","0.9","Sporting events, whether they are local games or international tournaments, have the power to unite people from different backgrounds and beliefs in a common passion.","entity_raw","ClsC_fe9494d3","Sport-Driven Social Cohesion","Sport, Community & Social Experience","[""Ch_000001""]","[]"
"En_558dc953","camaraderie of fans","Sense of friendship and solidarity among sports spectators.","SocialPhenomenon","0.93","Whether it is through the thrill of competition, the camaraderie of fans, or the inspiration of athletes, sports have the power to transcend boundaries and build bridges between individuals and communities.","entity_raw","ClsR_f284bb95","Sports-Related Emotional Experiences","Sport, Community & Social Experience","[""Ch_000005""]","[]"
"En_1f879909","language barriers","Differences in spoken or written languages that can hinder communication between people.","Condition","0.9","For example, the World Cup in soccer or the Olympics are events that bring together millions of people from around the globe, transcending language barriers and political divisions.","entity_raw","ClsC_fae39631","Social and Cultural Barriers","Sports, Social Divisions and Connections","[""Ch_000002""]","[]"
"En_70aa9147","political divisions","Differences and separations between people or nations due to political views or systems.","Condition","0.9","For example, the World Cup in soccer or the Olympics are events that bring together millions of people from around the globe, transcending language barriers and political divisions.","entity_raw","ClsC_fae39631","Social and Cultural Barriers","Sports, Social Divisions and Connections","[""Ch_000002""]","[]"
"En_ac798f6a","barriers","Social or cultural obstacles that sports can help to break down.","SocialConstraint","0.86","Furthermore, sports can be a powerful tool for promoting social change and breaking down barriers.","entity_raw","ClsC_fae39631","Social and Cultural Barriers","Sports, Social Divisions and Connections","[""Ch_000003""]","[]"
"En_ba3ea9f0","boundaries","Divisions or separations between people that sports can transcend.","AbstractConcept","0.82","Whether it is through the thrill of competition, the camaraderie of fans, or the inspiration of athletes, sports have the power to transcend boundaries and build bridges between individuals and communities.","entity_raw","ClsC_fae39631","Social and Cultural Barriers","Sports, Social Divisions and Connections","[""Ch_000005""]","[]"
"En_45eaecca","people from different backgrounds and beliefs","Individuals with diverse cultural and ideological identities brought together by sports.","Actor","0.9","Sporting events, whether they are local games or international tournaments, have the power to unite people from different backgrounds and beliefs in a common passion.","entity_raw","ClsC_2015c412","Human Participants in Sport","Sport, Community & Social Experience","[""Ch_000001""]","[]"
"En_ac1d37a4","athletes","Individuals who participate in sports and can use their public presence to influence social and economic issues.","Actor","0.98","Additionally, athletes have used their platforms to speak out against discrimination and injustice, bringing attention to important social issues and inspiring others to take action.","entity_raw","ClsC_2015c412","Human Participants in Sport","Sport, Community & Social Experience","[""Ch_000004""]","[]"
"En_89791c19","bridges between individuals and communities","Connections formed between people and groups through sports.","SocialPhenomenon","0.9","sports have the power to transcend boundaries and build bridges between individuals and communities.","entity_raw","ClsC_e5ee4cc5","Social Connection Metaphors in Sport","Sports, Social Divisions and Connections","[""Ch_000005""]","[]"
"En_69be1f97","individuals","Single persons who participate in or are affected by sports.","Agent","0.78","sports have the power to transcend boundaries and build bridges between individuals and communities.","entity_raw","ClsC_1c844a2f","Social Units","Sports and Society","[""Ch_000005""]","[]"
"En_12133ed4","communities","Groups of people whose culture and cohesion can be shaped by sports.","SocialGroup","0.86","sports have the power to transcend boundaries and build bridges between individuals and communities.","entity_raw","ClsC_1c844a2f","Social Units","Sports and Society","[""Ch_000005""]","[]"
"En_7590fdd8","fans","Supporters who gather to celebrate and follow their favorite athletes and teams.","Actor","0.96","These events create a sense of belonging and pride among fans, who come together to celebrate the achievements of their favorite athletes and teams.","entity_raw","ClsC_d8ec6fa2","Sports Fandom Actors","Sport, Community & Social Experience","[""Ch_000002""]","[]"
"En_6f7aeb07","favorite athletes","Athletes admired and supported by fans during major sports events.","Actor","0.94","These events create a sense of belonging and pride among fans, who come together to celebrate the achievements of their favorite athletes and teams.","entity_raw","ClsC_d8ec6fa2","Sports Fandom Actors","Sport, Community & Social Experience","[""Ch_000002""]","[]"
"En_05a0abd2","favorite teams","Sports teams that fans support and whose achievements they celebrate.","Actor","0.94","These events create a sense of belonging and pride among fans, who come together to celebrate the achievements of their favorite athletes and teams.","entity_raw","ClsC_d8ec6fa2","Sports Fandom Actors","Sport, Community & Social Experience","[""Ch_000002""]","[]"
"En_73bdd471","personal lives","Individuals’ non-work life domains where lessons from sports help handle challenges.","LifeDomain","0.9","These lessons translate into other areas of life, helping individuals become better equipped to handle challenges in their personal and professional lives.","entity_raw","ClsC_4e93bd2e","Life Domains","Sports-Based Personal Development","[""Ch_000003""]","[]"
"En_3950e78f","professional lives","Work-related life domains where lessons from sports assist in handling challenges.","LifeDomain","0.9","These lessons translate into other areas of life, helping individuals become better equipped to handle challenges in their personal and professional lives.","entity_raw","ClsC_4e93bd2e","Life Domains","Sports-Based Personal Development","[""Ch_000003""]","[]"
"Can_fea75481","culture","The shared beliefs, practices, values, and social systems of communities that are influenced by sports.","SocialSystem","0.96","Both mentions refer to the same general notion of culture shaped by sports, just with slightly different type hints and positions in the essay.","entity_raw","ClsC_b0c4a879","Sport-Influenced Societies","Sports, Culture, and Society","[""Ch_000001"", ""Ch_000005""]","[]"
"Can_a4e3cde6","society","Human communities and social structures that are shaped and influenced by sports in various ways.","SocialSystem","0.96","Both mentions refer generically to human society in the context of being impacted by sports, differing only slightly in type_hint and phrasing but not in concept.","entity_raw","ClsC_b0c4a879","Sport-Influenced Societies","Sports, Culture, and Society","[""Ch_000001"", ""Ch_000005""]","[]"
"En_dea14a3c","cultures","Shared customs, beliefs, and social behaviors of groups around the world influenced by sports.","Concept","0.95","Sports have always played a significant role in shaping cultures around the world. From ancient civilizations to modern societies, sports have served as a powerful means of bringing people together.","entity_raw","ClsC_b0c4a879","Sport-Influenced Societies","Sports, Culture, and Society","[""Ch_000001""]","[]"
"En_f2693270","ancient civilizations","Early complex human societies in history where sports already played a social role.","Society","0.93","From ancient civilizations to modern societies, sports have served as a powerful means of bringing people together, fostering a sense of community, and promoting values such as teamwork, discipline, and fair play.","entity_raw","ClsC_b0c4a879","Sport-Influenced Societies","Sports, Culture, and Society","[""Ch_000001""]","[]"
