"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_2fc27201aa8e","Can_d0ba8cd1","En_dea14a3c","influences","influences","Indicates that the subject exerts a causal influence on the state, structure, or evolution of the object (e.g., sports influencing culture, society, or social change).","socio_cultural_influence_relation","CAUSALITY","causal influence","0.96","Direction chosen as sports → cultures because text states sports shape cultures.","The sentence ""Sports have always played a significant role in shaping cultures around the world"" explicitly attributes an influence from sports to cultures.","","Sports have always played a significant role in shaping cultures around the world. From ancient civilizations to modern societies...","Ch_000001","{
 ""TemporalQualifier"": ""from ancient civilizations to modern societies"",
 ""SpatialQualifier"": ""around the world"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""played a significant role in shaping"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Sports are described as playing a significant role in shaping cultures around the world."
"RelR_27edd73031f9","Can_d0ba8cd1","En_f2693270","occurs_in","is_practiced_in","Indicates that a sport or group of sports is present, practiced, and socially relevant within a given society or historical context.","sociohistorical_presence_relation","TEMPORALITY","temporal context","0.8","Ancient civilizations provide temporal and social context for the existence and impact of sports.","Phrase ""From ancient civilizations to modern societies, sports have served..."" links sports with ancient civilizations as an early context.","Relation created to preserve temporal span of sports' influence.","From ancient civilizations to modern societies, sports have served as a powerful means...","Ch_000001","{
 ""TemporalQualifier"": ""ancient era"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""From"",
 ""OtherQualifier"": ""ContinuitySpan: beginning of described historical range""
}","Sports are said to have been present and socially relevant since ancient civilizations."
"RelR_390368d08e30","Can_d0ba8cd1","En_76e7e482","occurs_in","is_practiced_in","Indicates that a sport or group of sports is present, practiced, and socially relevant within a given society or historical context.","sociohistorical_presence_relation","TEMPORALITY","temporal context","0.84","Modern societies mark the current end of the historical range over which sports have social impact.","Same sentence connects sports with modern societies as the contemporary context.","","From ancient civilizations to modern societies, sports have served as a powerful means...","Ch_000001","{
 ""TemporalQualifier"": ""modern era"",
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": ""to"",
 ""OtherQualifier"": ""ContinuitySpan: end of described historical range""
}","Sports are described as continuing to serve social roles in modern societies."
"RelR_2dc196c8678a","Can_d0ba8cd1","En_d2b0834e","promotes","promotes","Indicates that the subject fosters, encourages, or advances the development, prevalence, or strengthening of the object, typically a social or ethical value, norm, attitude, or outcome.","social_value_promotion_relation","CAUSALITY","value promotion","0.95","Direction sports → sense of community since sports are the promoting mechanism.","Text: ""sports have served as a powerful means of bringing people together, fostering a sense of community"".","","sports have served as a powerful means of bringing people together, fostering a sense of community...","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""served as a powerful means of"",
 ""LogicalMarker"": ""as"",
 ""OtherQualifier"": null
}","Participation in sports fosters a sense of community."
"RelR_6e7c3dca0a42","Can_d0ba8cd1","En_dee45e1d","promotes","promotes","Indicates that the subject fosters, encourages, or advances the development, prevalence, or strengthening of the object, typically a social or ethical value, norm, attitude, or outcome.","social_value_promotion_relation","CAUSALITY","value promotion","0.97","Sports are explicitly said to promote the listed values.","Phrase: ""promoting values such as teamwork, discipline, and fair play"".","","promoting values such as teamwork, discipline, and fair play.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""promoting"",
 ""LogicalMarker"": ""such as"",
 ""OtherQualifier"": null
}","Sports promote the value of teamwork."
"RelR_ffb3f5761ac6","Can_d0ba8cd1","En_2dfae60b","promotes","promotes","Indicates that the subject fosters, encourages, or advances the development, prevalence, or strengthening of the object, typically a social or ethical value, norm, attitude, or outcome.","social_value_promotion_relation","CAUSALITY","value promotion","0.97","Same list of values promoted by sports.","Discipline appears in the list of ""values"" that sports are said to promote.","","promoting values such as teamwork, discipline, and fair play.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""promoting"",
 ""LogicalMarker"": ""such as"",
 ""OtherQualifier"": null
}","Sports promote the value of discipline."
"RelR_ff3fb3e27061","Can_d0ba8cd1","En_8057a670","promotes","promotes","Indicates that the subject fosters, encourages, or advances the development, prevalence, or strengthening of the object, typically a social or ethical value, norm, attitude, or outcome.","social_value_promotion_relation","CAUSALITY","value promotion","0.97","Fair play is one of multiple values indicated as promoted by sports.","Fair play appears in the same enumerated list of values promoted by sports.","","promoting values such as teamwork, discipline, and fair play.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""promoting"",
 ""LogicalMarker"": ""such as"",
 ""OtherQualifier"": null
}","Sports promote the value of fair play."
"RelR_7fcef736a3b2","Can_d0ba8cd1","Can_fea75481","impacts","influences","Indicates that the subject exerts a causal influence on the state, structure, or evolution of the object (e.g., sports influencing culture, society, or social change).","socio_cultural_influence_relation","CAUSALITY","causal influence","0.94","Direction sports → culture follows ""ways in which sports impact culture"".","Sentence: ""This essay will explore the various ways in which sports impact culture and society.""","","This essay will explore the various ways in which sports impact culture and society.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""in various ways"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""impact"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","The essay frames sports as impacting culture."
"RelR_4a5f21456f5b","Can_d0ba8cd1","Can_a4e3cde6","impacts","influences","Indicates that the subject exerts a causal influence on the state, structure, or evolution of the object (e.g., sports influencing culture, society, or social change).","socio_cultural_influence_relation","CAUSALITY","causal influence","0.94","Same sentence pairs sports with society as another object of impact.","The phrase ""sports impact culture and society"" connects sports' influence to society.","","explore the various ways in which sports impact culture and society.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""in various ways"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""impact"",
 ""LogicalMarker"": ""and"",
 ""OtherQualifier"": null
}","Sports are described as impacting society."
"RelR_ef4ada1eaffe","Can_d0ba8cd1","En_1767f7d1","creates","generates","Indicates that the subject produces or brings about the object, typically an experience, emotion, or social/cultural phenomenon.","experience_generation_relation","CAUSALITY","mechanism","0.93","Sports → shared experiences as a mechanism for influencing culture.","""One of the most obvious ways in which sports influence culture is through the creation of shared experiences and traditions.""","","sports influence culture is through the creation of shared experiences and traditions.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": ""as a way in which sports influence culture"",
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""through"",
 ""LogicalMarker"": ""through"",
 ""OtherQualifier"": null
}","Sports influence culture partly by creating shared experiences."
