"relation_id","start_id","end_id","raw_relation_name","canonical_rel_name","canonical_rel_desc","rel_cls","rel_cls_group","rel_hint_type","confidence","resolution_context","justification","remark","evidence_excerpt","chunk_id","qualifiers","rel_desc"
"RelR_b09ef40c9e0f","Can_4d0310b4","Can_e67dc3e0","plays_role_in","has_ecological_role_in","Links an organism or taxonomic group to the ecosystem context in which it plays one or more ecological roles or functions.","ecosystem_function_relation","FUNCTIONALITY","functional involvement","0.97","Direction chosen as agents (birds) acting within/affecting ecosystems.","Text explicitly states that birds play a crucial role in ecosystems and contribute to their functioning and stability.","","Birds play a crucial role in ecosystems, serving as indicators of environmental health, contributing to biodiversity, and playing various ecological roles...","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""worldwide"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""crucial role"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""EcosystemAspect: overall functioning and balance""
}","Birds play crucial roles in ecosystems worldwide."
"RelR_dad93aa38d75","Can_4d0310b4","Can_a7a62f64","indicates_state_of","indicates_state_of","Subject serves as an indicator or proxy for the state or condition of the object (e.g., bird metrics indicating ecosystem condition).","environmental_indicator_relation","ASSOCIATION","indicator","0.96","Environmental health interpreted as ecosystem condition.","Phrase 'serving as indicators of environmental health' directly supports birds as bioindicators of ecosystem condition.","","Birds play a crucial role in ecosystems, serving as indicators of environmental health...","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in ecosystems"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""serving as indicators"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Birds serve as indicators of ecosystem condition/environmental health."
"RelR_7392475d7b5b","Can_4d0310b4","Can_374bb0ad","supports","supports","Indicates that the subject provides causal or functional support that maintains, enables, or enhances the state, process, or functioning of the object (e.g., organisms supporting biodiversity, ecosystem functioning, or growth processes).","ecosystem_function_support_relation","CAUSALITY","support","0.94","Contribution phrased as support/maintenance of biodiversity.","The text states that birds contribute to biodiversity as part of their ecological roles.","","Birds play a crucial role in ecosystems, serving as indicators of environmental health, contributing to biodiversity...","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in ecosystems"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""contributing to"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Birds contribute to and support biodiversity."
"RelR_93b080a97463","Can_4d0310b4","Can_9a985b31","supports_functioning_of","supports","Indicates that the subject provides causal or functional support that maintains, enables, or enhances the state, process, or functioning of the object (e.g., organisms supporting biodiversity, ecosystem functioning, or growth processes).","ecosystem_function_support_relation","CAUSALITY","support","0.95","Functioning is explicitly mentioned as an outcome of birds’ roles.","Sentence: 'From seed dispersal to pest control, birds contribute to the functioning ... of ecosystems worldwide.'","","From seed dispersal to pest control, birds contribute to the functioning and stability of ecosystems worldwide.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""worldwide"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""contribute to"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""ServiceExamples: seed dispersal, pest control""
}","Bird activities contribute to ecosystem functioning."
"RelR_fc899f9582b9","Can_4d0310b4","En_a15c6d59","enhances_stability_of","stabilizes","Indicates that the subject contributes causally to the stability or balanced functioning of the ecosystem or ecological system represented by the object.","ecosystem_stability_relation","CAUSALITY","stabilizing effect","0.95","Stability is explicitly paired with functioning as an outcome of bird roles.","Same sentence states birds contribute to the stability of ecosystems worldwide.","","From seed dispersal to pest control, birds contribute to the functioning and stability of ecosystems worldwide.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""worldwide"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""contribute to"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Mechanism: through roles like seed dispersal and pest control""
}","Birds contribute to the stability of ecosystems."
"RelR_7d52a2cd6581","En_782dbed9","Can_e67dc3e0","maintains_balance_of","stabilizes","Indicates that the subject contributes causally to the stability or balanced functioning of the ecosystem or ecological system represented by the object.","ecosystem_stability_relation","CAUSALITY","stabilizing effect","0.9","Natural systems interpreted as ecosystems.","Text links birds' ecological roles to maintaining balance in natural systems.","","playing various ecological roles that help maintain balance in natural systems.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in natural systems (ecosystems)"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""help maintain balance"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Ecological roles of birds help maintain balance within ecosystems."
"RelR_343e3478734c","Can_4d0310b4","En_782dbed9","performs_role","has_ecological_role","Links an organism or taxonomic group to a specific ecological role or function it performs (e.g., seed disperser, predator, pollinator).","ecosystem_function_relation","FUNCTIONALITY","role-performance","0.93","Roles are functions enacted by birds.","Phrase 'playing various ecological roles' directly assigns roles to birds.","","serving as indicators of environmental health, contributing to biodiversity, and playing various ecological roles...","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in ecosystems"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": null,
 ""LogicalMarker"": null,
 ""OtherQualifier"": ""Examples: seed dispersal, pest control""
}","Birds perform multiple ecological roles."
"RelR_29f955e5f3c1","Can_4d0310b4","Can_720892c9","performs","participates_in_ecological_process","Indicates that an organism or biotic component acts as an agent or participant in a specified ecological process.","ecological_process_participation_relation","AGENCY","process-execution","0.97","Seed dispersal named as a role of birds.","Sentence explicitly identifies seed dispersal as one of the most important roles birds play.","","One of the most important roles birds play in ecosystems is seed dispersal.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in ecosystems"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""important role"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Birds perform the ecological process of seed dispersal."
"RelR_1f0f295e4b80","Can_4d0310b4","Can_9f3f5982","provides_service","provides_ecosystem_service","Indicates that the subject directly acts as a source or provider of one or more ecosystem services (e.g., by performing ecological functions that themselves constitute the service). This excludes purely indirect or enabling roles, which are modeled with 'supports_ecosystem_services'.","ecosystem_service_relation","FUNCTION","ecosystem service","0.86","Pest control phrase mapped to natural pest control by birds entity.","The phrase 'From seed dispersal to pest control, birds contribute...' implies birds perform pest control as a role.","Service-level entity inferred from general 'pest control' wording.","From seed dispersal to pest control, birds contribute to the functioning and stability of ecosystems worldwide.","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": ""in ecosystems worldwide"",
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""contribute via pest control"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Birds provide the ecosystem service of natural pest control."
"RelR_67371442a3ea","Can_720892c9","En_1c17bb48","promotes","promotes","A causal relation where a biological or ecological process increases, supports, or facilitates a beneficial ecological outcome (such as regeneration, diversity, or growth).","positive_ecological_effect_relation","CAUSALITY","causal benefit","0.97","‘This process’ refers back to seed dispersal.","Sentence directly links the process to regeneration of plant populations.","","This process helps to regenerate plant populations...","Ch_000001","{
 ""TemporalQualifier"": null,
 ""SpatialQualifier"": null,
 ""OperationalConstraint"": null,
 ""ConditionExpression"": null,
 ""UncertaintyQualifier"": null,
 ""CausalHint"": ""helps to regenerate"",
 ""LogicalMarker"": null,
 ""OtherQualifier"": null
}","Seed dispersal helps regenerate plant populations."
