"entity_id","entity_name","entity_description","entity_type_hint","entity_confidence","entity_resolution_context","entity_flag","class_id","class_label","class_group","chunk_ids","node_properties"
"En_6e99e028","hummingbirds","Nectar-feeding bird species that act as important pollinators for some plants.","BiologicalEntity","0.97","Some bird species, such as hummingbirds and sunbirds, are important pollinators for certain plant species.","entity_raw","ClsC_29124e5e","Bird Pollinators","Bird-Mediated Plant Reproduction and Regeneration","[""Ch_000003""]","[]"
"En_6f01a7b6","sunbirds","Nectar-feeding bird species functioning as pollinators for certain plants.","BiologicalEntity","0.96","Some bird species, such as hummingbirds and sunbirds, are important pollinators for certain plant species.","entity_raw","ClsC_29124e5e","Bird Pollinators","Bird-Mediated Plant Reproduction and Regeneration","[""Ch_000003""]","[]"
"En_f3620521","bird pollinators","Bird species that feed on nectar and transfer pollen, enabling plant reproduction through pollination.","BiologicalAgent","0.97","By feeding on nectar and transferring pollen from flower to flower, these birds facilitate the reproduction of plants and contribute to the production of fruits and seeds. Without bird pollinators, many plant species would struggle to reproduce and maintain their populations.","entity_raw","ClsC_29124e5e","Bird Pollinators","Bird-Mediated Plant Reproduction and Regeneration","[""Ch_000004""]","[]"
"En_460c2055","seabirds","Bird species that live in marine environments and often nest on land.","BiologicalEntity","0.96","For example, seabirds deposit nutrients from marine environments onto land through their guano, enriching soils and supporting plant growth.","entity_raw","ClsC_f35e9db2","Seabird Nutrient Vectors","Bird-Mediated Nutrient Cycling & Habitats","[""Ch_000003""]","[]"
"En_a4de230f","guano","Bird excrement, especially from seabirds, rich in nutrients that fertilize soils.","Material","0.97","For example, seabirds deposit nutrients from marine environments onto land through their guano, enriching soils and supporting plant growth.","entity_raw","ClsC_f35e9db2","Seabird Nutrient Vectors","Bird-Mediated Nutrient Cycling & Habitats","[""Ch_000003""]","[]"
"En_f444ec5e","marine environments","Oceanic and sea habitats from which seabirds obtain nutrients.","Environment","0.93","For example, seabirds deposit nutrients from marine environments onto land through their guano, enriching soils and supporting plant growth.","entity_raw","ClsC_53c5e99f","Habitat Substrates","Bird-Mediated Nutrient Cycling & Habitats","[""Ch_000003""]","[]"
"En_fb413d55","land","Terrestrial surfaces where seabirds deposit marine-derived nutrients.","Location","0.87","For example, seabirds deposit nutrients from marine environments onto land through their guano, enriching soils and supporting plant growth.","entity_raw","ClsC_53c5e99f","Habitat Substrates","Bird-Mediated Nutrient Cycling & Habitats","[""Ch_000003""]","[]"
"En_16d77cef","soils","Terrestrial substrates that are enriched by seabird guano and support plant growth.","Material","0.9","For example, seabirds deposit nutrients from marine environments onto land through their guano, enriching soils and supporting plant growth.","entity_raw","ClsC_53c5e99f","Habitat Substrates","Bird-Mediated Nutrient Cycling & Habitats","[""Ch_000003""]","[]"
"En_15e9f2db","forests","Terrestrial ecosystems where insect-feeding birds help cycle nutrients.","Environment","0.93","In forests, birds that feed on insects help to cycle nutrients by redistributing them through their droppings.","entity_raw","ClsC_f0f2ff51","Ecosystem Nutrient Cycling Elements","Bird-Mediated Nutrient Cycling & Habitats","[""Ch_000003""]","[]"
"En_0f1af47a","bird droppings","Excreta of birds that redistribute nutrients within ecosystems.","Material","0.95","In forests, birds that feed on insects help to cycle nutrients by redistributing them through their droppings.","entity_raw","ClsC_f0f2ff51","Ecosystem Nutrient Cycling Elements","Bird-Mediated Nutrient Cycling & Habitats","[""Ch_000003""]","[]"
"Can_5a77ee9e","insect populations","Groups of insects in ecosystems that serve as prey for birds, often functioning as agricultural pests in some contexts and contributing to nutrient cycling and ecosystem dynamics when their populations are naturally controlled by bird predation.","OrganismGroup","0.97","Both entities describe the same biological group—populations of insects that are preyed upon by birds in similar ecological and pest-control contexts—differing mainly in phrasing and emphasis.","entity_raw","ClsC_56229c18","Pest Organism Populations","Pest Management & Ecosystem Services","[""Ch_000002"", ""Ch_000003""]","[]"
"En_5debf55d","pests","Insects or organisms that can damage crops and vegetation when their populations outbreak.","OrganismRole","0.9","By preying on insects, birds help prevent outbreaks of pests that can damage crops and other vegetation.","entity_raw","ClsC_56229c18","Pest Organism Populations","Pest Management & Ecosystem Services","[""Ch_000002""]","[]"
"En_b3356c2f","crops","Cultivated plants grown for agriculture that can be damaged by pest outbreaks.","Component","0.9","By preying on insects, birds help prevent outbreaks of pests that can damage crops and other vegetation.","entity_raw","ClsC_c6698d0e","Plant Resources at Risk","Pest Management & Ecosystem Services","[""Ch_000002""]","[]"
"En_8f9ec9bd","vegetation","General plant life that can be harmed by pest outbreaks and protected indirectly by birds.","Environment","0.9","By preying on insects, birds help prevent outbreaks of pests that can damage crops and other vegetation.","entity_raw","ClsC_c6698d0e","Plant Resources at Risk","Pest Management & Ecosystem Services","[""Ch_000002""]","[]"
"En_1edc3149","bird behaviors","Patterns of actions and activities of birds, whose changes can indicate environmental shifts.","BiologicalBehavior","0.9","Changes in bird populations, behaviors, or distributions can signal shifts in environmental conditions, such as habitat loss, pollution, or climate change.","entity_raw","ClsC_799d2fe5","Avian Environmental Indicators","Birds as Environmental Indicators & Conservation","[""Ch_000004""]","[]"
"En_7db665da","bird distributions","Geographical spread and locations of bird species, used as indicators of environmental conditions.","SpatialDistribution","0.9","Changes in bird populations, behaviors, or distributions can signal shifts in environmental conditions, such as habitat loss, pollution, or climate change.","entity_raw","ClsC_799d2fe5","Avian Environmental Indicators","Birds as Environmental Indicators & Conservation","[""Ch_000004""]","[]"
"En_2dfb2b08","habitat loss","Reduction or degradation of natural habitats, affecting bird populations and signaling environmental change.","EnvironmentalPressure","0.96","Changes in bird populations, behaviors, or distributions can signal shifts in environmental conditions, such as habitat loss, pollution, or climate change.","entity_raw","ClsC_bacaf48c","Environmental Pressures","Birds as Environmental Indicators & Conservation","[""Ch_000004""]","[]"
"En_49cb81e0","pollution","Introduction of harmful substances or contaminants into the environment impacting ecosystems and birds.","EnvironmentalPressure","0.96","Changes in bird populations, behaviors, or distributions can signal shifts in environmental conditions, such as habitat loss, pollution, or climate change.","entity_raw","ClsC_bacaf48c","Environmental Pressures","Birds as Environmental Indicators & Conservation","[""Ch_000004""]","[]"
"En_8c8a0295","climate change","Long-term alteration of climate patterns, influencing bird distributions and ecosystem conditions.","EnvironmentalPressure","0.96","Changes in bird populations, behaviors, or distributions can signal shifts in environmental conditions, such as habitat loss, pollution, or climate change.","entity_raw","ClsC_bacaf48c","Environmental Pressures","Birds as Environmental Indicators & Conservation","[""Ch_000004""]","[]"
"En_2c1674ac","fruits","Plant reproductive structures eaten by birds, containing seeds that are later dispersed.","BiologicalMaterial","0.93","Many bird species consume fruits and then spread seeds far and wide as they fly and excrete them in different locations.","entity_raw","ClsC_90fba8cc","Bird-Dispersed Plant Propagules","Bird-Mediated Plant Reproduction and Regeneration","[""Ch_000001""]","[]"
"En_62c98f2d","seeds","Plant reproductive units dispersed by birds after fruit consumption and excretion.","BiologicalMaterial","0.96","Many bird species consume fruits and then spread seeds far and wide as they fly and excrete them in different locations. This process helps to regenerate plant populations, promote genetic diversity, and support the growth of new vegetation.","entity_raw","ClsC_90fba8cc","Bird-Dispersed Plant Propagules","Bird-Mediated Plant Reproduction and Regeneration","[""Ch_000001""]","[]"
"En_1c17bb48","plant population regeneration","Renewal and recovery of plant populations aided by bird-mediated seed dispersal.","EcologicalProcess","0.91","Many bird species consume fruits and then spread seeds far and wide as they fly and excrete them in different locations. This process helps to regenerate plant populations, promote genetic diversity, and support the growth of new vegetation.","entity_raw","ClsC_65b54a26","Plant Population Dynamics","Bird-Mediated Plant Reproduction and Regeneration","[""Ch_000001""]","[]"
